Date,Country/Territory/Area,Confirmed Cases,Exposure under investigation,Total Deaths,Exposure in China,Exposure outside China 
2/11/2020,Italy,3,0,0,3,0
2/11/2020,Russian Federation,2,0,0,2,0
2/11/2020,Spain,2,0,0,0,2
2/11/2020,Belgium,1,0,0,1,0
2/11/2020,Finland,1,0,0,1,0
2/11/2020,Sweden,1,0,0,1,0
2/11/2020,United Arab Emirates,8,1,0,6,1
2/11/2020,International conveyance (Japan),135,135,0,0,0
2/15/2020,Singapore,67,1,0,22,44
2/15/2020,Japan,41,0,1,25,16
2/15/2020,Republic of Korea,28,3,0,13,12
2/15/2020,Malaysia,21,1,0,16,4
2/15/2020,Vietnam,16,0,0,8,8
2/15/2020,Australia,15,0,0,12,3
2/15/2020,Philippines,3,0,1,3,0
2/15/2020,Cambodia,1,0,0,1,0
2/15/2020,Thailand,34,4,0,23,7
2/15/2020,India,3,0,0,3,0
2/15/2020,Nepal,1,0,0,1,0
2/15/2020,Sri Lanka,1,0,0,1,0
2/15/2020,United States of America,15,0,0,13,2
2/15/2020,Canada,7,1,0,6,0
2/15/2020,Germany,16,0,0,2,14
2/15/2020,France,11,0,0,5,6
2/15/2020,The United Kingdom,9,0,0,2,7
2/15/2020,Italy,3,0,0,3,0
2/15/2020,Russia,2,0,0,2,0
2/15/2020,Spain,2,0,0,0,2
2/15/2020,Belgium,1,0,0,1,0
2/15/2020,Finland,1,0,0,1,0
2/15/2020,Sweden,1,0,0,1,0
2/15/2020,United Arab Emirates,8,1,0,6,1
2/15/2020,Egypt,1,0,0,0,1
2/15/2020,International conveyance (Japan),218,218,0,0,0
2/19/2020,Singapore,81,7,0,23,51
2/19/2020,Japan,73,5,1,26,42
2/19/2020,Republic of Korea,51,5,0,13,33
2/19/2020,Malaysia,22,2,0,17,3
2/19/2020,Vietnam,16,0,0,8,8
2/19/2020,Australia,15,0,0,12,3
2/19/2020,Philippines,3,0,1,3,0
2/19/2020,Cambodia,1,0,0,1,0
2/19/2020,Thailand,35,7,0,23,5
2/19/2020,India,3,0,0,3,0
2/19/2020,Nepal,1,0,0,1,0
2/19/2020,Sri Lanka,1,0,0,1,0
2/19/2020,United States of America,15,0,0,13,2
2/19/2020,Canada,8,1,0,7,0
2/19/2020,Germany,16,0,0,2,14
2/19/2020,France,12,0,1,5,7
2/19/2020,The United Kingdom,9,0,0,2,7
2/19/2020,Italy,3,0,0,3,0
2/19/2020,Russian Federation,2,0,0,2,0
2/19/2020,Spain,2,0,0,0,2
2/19/2020,Belgium,1,0,0,1,0
2/19/2020,Finland,1,0,0,1,0
2/19/2020,Sweden,1,0,0,1,0
2/19/2020,United Arab Emirates,9,1,0,6,2
2/19/2020,Egypt,1,0,0,0,1
2/19/2020,International conveyance (Japan),542,542,0,0,0
2/23/2020,Republic of Korea,602,232,5,13,357
2/23/2020,Japan,132,7,1,28,97
2/23/2020,Singapore,89,7,0,24,58
2/23/2020,Australia,22,0,0,12,10
2/23/2020,Malaysia,22,2,0,17,3
2/23/2020,Vietnam,16,0,0,8,8
2/23/2020,Philippines,3,0,1,3,0
2/23/2020,Cambodia,1,0,0,1,0
2/23/2020,Thailand,35,7,0,23,5
2/23/2020,India,3,0,0,3,0
2/23/2020,Nepal,1,0,0,1,0
2/23/2020,Sri Lanka,1,0,0,1,0
2/23/2020,United States of America,35,1,0,14,20
2/23/2020,Canada,9,1,0,7,1
2/23/2020,Italy,76,64,2,3,9
2/23/2020,Germany,16,0,0,2,14
2/23/2020,France,12,0,1,5,7
2/23/2020,The United Kingdom,9,0,0,2,7
2/23/2020,Russian Federation,2,0,0,2,0
2/23/2020,Spain,2,0,0,0,2
2/23/2020,Belgium,1,0,0,1,0
2/23/2020,Finland,1,0,0,1,0
2/23/2020,Israel,1,0,0,0,1
2/23/2020,Sweden,1,0,0,1,0
2/23/2020,Iran,28,10,5,0,18
2/23/2020,United Arab Emirates,13,0,0,6,7
2/23/2020,Egypt,1,0,0,0,1
2/23/2020,Lebanon,1,0,0,0,1
2/23/2020,International conveyance(Japan),634,634,2,0,0
